stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022012083071001,Väla Marknadsvägen,56.093068,12.757061,0,9021012083071000,A
9022012083071002,Väla Marknadsvägen,56.093175,12.756651,0,9021012083071000,B
9022012083072001,Helsingborg Kavalleristen,56.064443,12.719310,0,9021012083072000,A
9022012083073001,Ödåkra Merkuriusgatan,56.097102,12.750119,0,9021012083073000,A
9022012083073002,Ödåkra Merkuriusgatan,56.097083,12.749750,0,9021012083073000,B
9022012083074001,Ödåkra Jupitergatan,56.098772,12.756996,0,9021012083074000,A
9022012083074002,Ödåkra Jupitergatan,56.098831,12.756814,0,9021012083074000,B
9022012083075001,Ödåkra Norrskensgatan,56.101607,12.759328,0,9021012083075000,A
9022012083075002,Ödåkra Norrskensgatan,56.101766,12.759251,0,9021012083075000,B
9022012083079001,Allerum Halevång,56.110510,12.703366,0,9021012083079000,A
9022012083079002,Allerum Halevång,56.110433,12.703533,0,9021012083079000,B
9022012083080001,Allerum kyrka,56.109681,12.692915,0,9021012083080000,A
9022012083080002,Allerum kyrka,56.109264,12.692418,0,9021012083080000,B
9022012083081001,Allerum Tornhultsvägen,56.117154,12.694563,0,9021012083081000,A
9022012083081002,Allerum Tornhultsvägen,56.116712,12.694486,0,9021012083081000,B
9022012083082001,Hjälmshult Brödavägen,56.121768,12.692598,0,9021012083082000,A
9022012083082002,Hjälmshult Brödavägen,56.122166,12.692356,0,9021012083082000,B
9022012083083001,Hjälmshult Fåglebäcksgatan,56.125102,12.694017,0,9021012083083000,A
9022012083083002,Hjälmshult Fåglebäcksgatan,56.125109,12.694290,0,9021012083083000,B
9022012083084001,Utvälinge V,56.217048,12.769891,0,9021012083084000,A
9022012083084002,Utvälinge V,56.218104,12.768985,0,9021012083084000,B
9022012083085001,Utvälinge Kryssvägen,56.215831,12.779260,0,9021012083085000,A
9022012083085002,Utvälinge Kryssvägen,56.216115,12.778770,0,9021012083085000,B
9022012083086001,Utvälinge Skeppsvägen,56.213060,12.786122,0,9021012083086000,A
9022012083086002,Utvälinge Skeppsvägen,56.212983,12.787015,0,9021012083086000,B
9022012083087001,Ödåkra Hagagatan,56.105700,12.748617,0,9021012083087000,A
9022012083087002,Ödåkra Hagagatan,56.106040,12.748911,0,9021012083087000,B
9022012083092001,Björkdala,56.108270,12.712584,0,9021012083092000,A
9022012083092002,Björkdala,56.108100,12.712967,0,9021012083092000,B
9022012083093001,Hjälmshult golfbanan,56.132324,12.713580,0,9021012083093000,A
9022012083093002,Hjälmshult golfbanan,56.132340,12.713498,0,9021012083093000,B
9022012083094001,Fleninge k:a,56.111841,12.793707,0,9021012083094000,A
9022012083094002,Fleninge k:a,56.111460,12.792836,0,9021012083094000,B
9022012083095001,Fleninge N,56.113273,12.794930,0,9021012083095000,A
9022012083095002,Fleninge N,56.112892,12.794783,0,9021012083095000,B
9022012083096001,Norrbölingevägen,56.120524,12.800089,0,9021012083096000,A
9022012083096002,Norrbölingevägen,56.119925,12.799493,0,9021012083096000,B
9022012083097001,Sturelundsvägen,56.123471,12.802289,0,9021012083097000,A
9022012083097002,Sturelundsvägen,56.122782,12.801313,0,9021012083097000,B
9022012083098001,Grönvik,56.132480,12.810275,0,9021012083098000,A
9022012083098002,Grönvik,56.131674,12.809275,0,9021012083098000,B
9022012083099001,Hasslarp torget,56.136673,12.812732,0,9021012083099000,A
9022012083099002,Hasslarp torget,56.136859,12.812605,0,9021012083099000,B
9022012083103001,Laröd Sofiero Huvudentrén,56.085683,12.662612,0,9021012083103000,A
9022012083103002,Laröd Sofiero Huvudentrén,56.085111,12.663093,0,9021012083103000,B
9022012083104001,Ödåkra Ravinen,56.095206,12.750124,0,9021012083104000,A
9022012083104002,Ödåkra Ravinen,56.094804,12.750220,0,9021012083104000,B
9022012083105001,Helsingborg Lasarettet,56.047121,12.705844,0,9021012083105000,A
9022012083105002,Helsingborg Lasarettet,56.047324,12.705330,0,9021012083105000,B
9022012083106001,Helsingborg Ekslingan,56.090089,12.747444,0,9021012083106000,A
9022012083106002,Helsingborg Ekslingan,56.090213,12.747016,0,9021012083106000,B
9022012083108001,Helsingborg Regementsvägen,56.062280,12.719403,0,9021012083108000,A
9022012083108002,Helsingborg Regementsvägen,56.062320,12.719946,0,9021012083108000,B
9022012083109001,Helsingborg Tofsmesgatan,56.077053,12.701526,0,9021012083109000,A
9022012083109002,Helsingborg Tofsmesgatan,56.076975,12.701275,0,9021012083109000,B
9022012083110001,Helsingborg Rökullagatan,56.065226,12.729448,0,9021012083110000,A
9022012083110002,Helsingborg Rökullagatan,56.065494,12.729378,0,9021012083110000,B
9022012083112001,Annelund,56.097632,12.699033,0,9021012083112000,A
9022012083112002,Annelund,56.097215,12.698906,0,9021012083112000,B
9022012083113001,Mossavägen,56.103103,12.696502,0,9021012083113000,A
9022012083113002,Mossavägen,56.103083,12.696391,0,9021012083113000,B
9022012083114001,Allerum S,56.107452,12.692532,0,9021012083114000,A
9022012083114002,Allerum S,56.107707,12.693059,0,9021012083114000,B
9022012083115001,Alledal,56.130753,12.692547,0,9021012083115000,A
9022012083115002,Alledal,56.130592,12.692592,0,9021012083115000,B
9022012083116001,Mariedalsvägen,56.138056,12.688866,0,9021012083116000,A
9022012083116002,Mariedalsvägen,56.137841,12.688916,0,9021012083116000,B
9022012083117001,Skoghus,56.143388,12.683686,0,9021012083117000,A
9022012083117002,Skoghus,56.143174,12.683751,0,9021012083117000,B
9022012083118001,Väla Volym,56.091179,12.766839,0,9021012083118000,A
9022012083118002,Väla Volym,56.091276,12.766365,0,9021012083118000,B
9022012083119001,Allerums Mosseväg,56.103095,12.696534,0,9021012083119000,A
9022012083119002,Allerums Mosseväg,56.102624,12.696717,0,9021012083119000,B
9022012083120001,Helsingborg Tallgatan,56.024391,12.715000,0,9021012083120000,A
9022012083120002,Helsingborg Tallgatan,56.024611,12.714421,0,9021012083120000,B
9022012083121001,Helsingborg Frigoscandia,56.013018,12.732737,0,9021012083121000,A
9022012083121002,Helsingborg Frigoscandia,56.011749,12.733351,0,9021012083121000,B
9022012083122001,Helsingborg Elektrogatan,56.010003,12.735078,0,9021012083122000,A
9022012083122002,Helsingborg Elektrogatan,56.009801,12.734885,0,9021012083122000,B
9022012083122003,Helsingborg Elektrogatan,56.009278,12.734446,0,9021012083122000,C
9022012083123001,Råå Kielergatan,56.004603,12.739420,0,9021012083123000,A
9022012083123002,Råå Kielergatan,56.003857,12.739784,0,9021012083123000,B
9022012083124001,Råå Lybecksgatan,56.001021,12.742799,0,9021012083124000,A
9022012083124002,Råå Lybecksgatan,55.999763,12.743540,0,9021012083124000,B
9022012083125001,Sundsgården,55.989537,12.764581,0,9021012083125000,A
9022012083125002,Sundsgården,55.988341,12.765268,0,9021012083125000,B
9022012083126001,Hjälmshult,56.121733,12.692633,0,9021012083126000,A
9022012083126002,Hjälmshult,56.122008,12.692498,0,9021012083126000,B
9022012083127001,Rya kvarn,55.976360,12.775007,0,9021012083127000,A
9022012083127002,Rya kvarn,55.977219,12.773417,0,9021012083127000,B
9022012083128001,Rydebäck Brännögatan,55.973194,12.775239,0,9021012083128000,A
9022012083128002,Rydebäck Brännögatan,55.973255,12.774833,0,9021012083128000,B
9022012083129001,Rydebäck Storövägen N,55.971877,12.771400,0,9021012083129000,A
9022012083129002,Rydebäck Storövägen N,55.970868,12.771319,0,9021012083129000,B
9022012083130001,Rydebäck Storövägen S,55.968097,12.771904,0,9021012083130000,A
9022012083130002,Rydebäck Storövägen S,55.967093,12.771983,0,9021012083130000,B
9022012083131001,Rydebäck Blidögatan,55.964236,12.771662,0,9021012083131000,A
9022012083131002,Rydebäck Blidögatan,55.964163,12.771604,0,9021012083131000,B
9022012083132001,Rydebäck Vindögatan,55.962322,12.768720,0,9021012083132000,A
9022012083132002,Rydebäck Vindögatan,55.962501,12.768690,0,9021012083132000,B
9022012083133001,Rydebäck Fortunavägen,55.959322,12.768779,0,9021012083133000,A
9022012083133002,Rydebäck Fortunavägen,55.958316,12.768794,0,9021012083133000,B
9022012083134001,Rydebäck Södra,55.958299,12.775395,0,9021012083134000,A
9022012083134002,Rydebäck Södra,55.958295,12.775635,0,9021012083134000,B
9022012083135001,Helsingborg Kvarnstensgatan,56.035059,12.710760,0,9021012083135000,A
9022012083135002,Helsingborg Kvarnstensgatan,56.035433,12.710586,0,9021012083135000,B
9022012083135003,Helsingborg Kvarnstensgatan,56.035842,12.711163,0,9021012083135000,C
9022012083136001,Bårslöv Kaprifolgatan,56.009895,12.799198,0,9021012083136000,A
9022012083136002,Bårslöv Kaprifolgatan,56.010079,12.799007,0,9021012083136000,B
9022012083137001,Bårslöv Snödroppegatan,56.009019,12.811167,0,9021012083137000,A
9022012083137002,Bårslöv Snödroppegatan,56.009081,12.811147,0,9021012083137000,B
9022012083138001,Bårslöv kyrkan,56.005472,12.816446,0,9021012083138000,A
9022012083138002,Bårslöv kyrkan,56.006287,12.814875,0,9021012083138000,B
9022012083139001,Råå Orkestergatan,55.996295,12.752248,0,9021012083139000,A
9022012083139002,Råå Orkestergatan,55.996019,12.752719,0,9021012083139000,B
9022012083139003,Råå Orkestergatan,55.995966,12.754567,0,9021012083139000,C
9022012083140001,Pålstorps gård,55.996539,12.758114,0,9021012083140000,A
9022012083140002,Pålstorps gård,55.996708,12.758758,0,9021012083140000,B
9022012083141001,Gullvången V,55.996890,12.766504,0,9021012083141000,A
9022012083141002,Gullvången V,55.996825,12.766766,0,9021012083141000,B
9022012083142001,Gullvången Ö,55.997079,12.772342,0,9021012083142000,A
9022012083142002,Gullvången Ö,55.997130,12.771504,0,9021012083142000,B
9022012083143001,Fredriksborg,55.996623,12.777541,0,9021012083143000,A
9022012083143002,Fredriksborg,55.996690,12.777343,0,9021012083143000,B
9022012083144001,Strandängsvägen,55.995612,12.781757,0,9021012083144000,A
9022012083144002,Strandängsvägen,55.995544,12.782275,0,9021012083144000,B
9022012083145001,Marbäcksvägen,55.993023,12.792348,0,9021012083145000,A
9022012083145002,Marbäcksvägen,55.993093,12.792263,0,9021012083145000,B
9022012083146001,Gantofta Gantoftavägen,55.991888,12.798481,0,9021012083146000,A
9022012083146002,Gantofta Gantoftavägen,55.991995,12.798088,0,9021012083146000,B
9022012083147001,Gantofta Glasyrgatan,55.990182,12.804048,0,9021012083147000,A
9022012083147002,Gantofta Glasyrgatan,55.990587,12.804097,0,9021012083147000,B
9022012083148001,Gantofta centrum,55.987676,12.805204,0,9021012083148000,A
9022012083149001,Nymölle,55.992883,12.808697,0,9021012083149000,A
9022012083149002,Nymölle,55.993074,12.808425,0,9021012083149000,B
9022012083150001,Fjärestad Västregård,55.989234,12.828697,0,9021012083150000,A
9022012083150002,Fjärestad Västregård,55.989381,12.828093,0,9021012083150000,B
9022012083151001,Fastmårupsvägen,55.986903,12.838591,0,9021012083151000,A
9022012083151002,Fastmårupsvägen,55.986998,12.838439,0,9021012083151000,B
9022012083152001,Fjärestad k:a,55.985865,12.842870,0,9021012083152000,A
9022012083152002,Fjärestad k:a,55.985910,12.842867,0,9021012083152000,B
9022012083153001,Fjärestad korsvägen,55.985217,12.852185,0,9021012083153000,A
9022012083153002,Fjärestad korsvägen,55.985317,12.851472,0,9021012083153000,B
9022012083154001,Fjärestadstorp,55.980963,12.856164,0,9021012083154000,A
9022012083154002,Fjärestadstorp,55.981292,12.855994,0,9021012083154000,B
9022012083155001,Tjutebrovägen,55.976439,12.859729,0,9021012083155000,A
9022012083155002,Tjutebrovägen,55.977200,12.859239,0,9021012083155000,B
9022012083156001,Norra Vallåkra,55.971651,12.861696,0,9021012083156000,A
9022012083156002,Norra Vallåkra,55.971690,12.861821,0,9021012083156000,B
9022012083157001,Vallåkra station,55.963771,12.861718,0,9021012083157000,A
9022012083157002,Vallåkra station,55.963771,12.861718,0,9021012083157000,B
9022012083157041,Vallåkra station,55.963890,12.861805,0,9021012083157000,1
9022012083157042,Vallåkra station,55.963963,12.861848,0,9021012083157000,2
9022012083158001,Vallåkra Borgvalla,55.961847,12.856754,0,9021012083158000,A
9022012083158002,Vallåkra Borgvalla,55.961802,12.856790,0,9021012083158000,B
9022012083159001,Vallåkra Eskatorpsvägen,55.958779,12.862258,0,9021012083159000,A
9022012083159002,Vallåkra Eskatorpsvägen,55.958769,12.862210,0,9021012083159000,B
9022012083160001,Gantofta Carlsro,55.984960,12.806617,0,9021012083160000,A
9022012083161001,Sliprännan,55.976499,12.812657,0,9021012083161000,A
9022012083161002,Sliprännan,55.978932,12.812565,0,9021012083161000,B
9022012083162001,Åsahögen,55.974736,12.813707,0,9021012083162000,A
9022012083162002,Åsahögen,55.974598,12.814311,0,9021012083162000,B
9022012083163001,Stenhög,55.972527,12.819310,0,9021012083163000,A
9022012083163002,Stenhög,55.972741,12.818877,0,9021012083163000,B
9022012083164001,Kvistofta k:a,55.968323,12.829039,0,9021012083164000,A
9022012083164002,Kvistofta k:a,55.968390,12.829210,0,9021012083164000,B
9022012083165001,Vallåkra Bryggerivägen,55.962746,12.843325,0,9021012083165000,A
9022012083165002,Vallåkra Bryggerivägen,55.962800,12.843321,0,9021012083165000,B
9022012083166001,Vallåkra Idrottsplatsen,55.961911,12.847474,0,9021012083166000,A
9022012083166002,Vallåkra Idrottsplatsen,55.962013,12.846841,0,9021012083166000,B
9022012083167001,Vallåkra Alstigen,55.961142,12.852851,0,9021012083167000,A
9022012083167002,Vallåkra Alstigen,55.961131,12.853140,0,9021012083167000,B
9022012083169001,Kvistofta Östra,55.966478,12.834468,0,9021012083169000,A
9022012083171001,Helsingborg Väla gård,56.085747,12.740861,0,9021012083171000,A
9022012083171002,Helsingborg Väla gård,56.085737,12.740460,0,9021012083171000,B
9022012083172001,Helsingborg Ättekulla Sommarstad,56.014578,12.745238,0,9021012083172000,A
9022012083172002,Helsingborg Ättekulla Sommarstad,56.014613,12.744834,0,9021012083172000,B
9022012083173001,Kingelstad Gultarpsvägen,55.956521,12.946006,0,9021012083173000,A
9022012083173002,Kingelstad Gultarpsvägen,55.955398,12.946041,0,9021012083173000,B
9022012083174001,Rönnarp,55.942153,12.949516,0,9021012083174000,A
9022012083174002,Rönnarp,55.942283,12.949298,0,9021012083174000,B
9022012083175001,Rya Ängavägen,55.982410,12.769997,0,9021012083175000,A
9022012083176001,Rydebäck Spårögatan,55.961382,12.778742,0,9021012083176000,A
9022012083176002,Rydebäck Spårögatan,55.961294,12.778813,0,9021012083176000,B
9022012083177001,Helsingborg Djurparken,56.031561,12.779393,0,9021012083177000,A
9022012083180001,Påarp Mullbärsgatan,56.029575,12.813972,0,9021012083180000,A
9022012083180002,Påarp Mullbärsgatan,56.029783,12.814036,0,9021012083180000,B
9022012083183001,Mjöhult Västanbo,56.169457,12.678718,0,9021012083183000,A
9022012083183002,Mjöhult Västanbo,56.168632,12.678430,0,9021012083183000,B
9022012083191001,Mörarp centrum,56.057674,12.879533,0,9021012083191000,A
9022012083194001,Kattarps station,56.141206,12.778243,0,9021012083194000,A
